Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"17.62500","2.58469","-22.22452"
"17.65000","2.58828","-22.24190"
"17.67500","2.59197","-22.25933"
"17.70000","2.59567","-22.27561"
"17.72500","2.59939","-22.29424"
"17.75000","2.60309","-22.31150"
"17.77500","2.60671","-22.33167"
"17.80000","2.61034","-22.34658"
"17.82500","2.61400","-22.36362"
"17.85000","2.61774","-22.38251"
"17.87500","2.62148","-22.39913"
"17.90000","2.62510","-22.41854"
"17.92500","2.62870","-22.43444"
"17.95000","2.63242","-22.45279"
"17.97500","2.63615","-22.46906"
"18.00000","2.63984","-22.48878"
"18.02500","2.64350","-22.50409"
"18.05000","2.64713","-22.52242"
